cell_id	plate_id	well_id	plate_col	plate_row	sort_gate	sort_mode	sort_count	dna_library_id	dna_read_pairs	dna_unpaired_reads	dna_unmapped	dna_dups_pct	rna_library_id	ercc_frac	rna_counts	rna_features	source	timepoint
VZA01803.D03	VZA01803	D03	3	D	G1	Single Cell	1	VZA01803D_D03	209088	8304	13616	0.035863	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D04	VZA01803	D04	4	D	G1	Single Cell	1	VZA01803D_D04	533993	19912	30882	0.059346	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D05	VZA01803	D05	5	D	G1	Single Cell	1	VZA01803D_D05	128810	7423	10923	0.037503	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D06	VZA01803	D06	6	D	G1	Single Cell	1	VZA01803D_D06	316628	18798	26876	0.048997	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D07	VZA01803	D07	7	D	G1	Single Cell	1	VZA01803D_D07	353196	17156	26444	0.05874	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D08	VZA01803	D08	8	D	G1	Single Cell	1	VZA01803D_D08	406244	20094	30114	0.056375	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D09	VZA01803	D09	9	D	G1	Single Cell	1	VZA01803D_D09	268818	16500	23336	0.05201600000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D10	VZA01803	D10	10	D	G1	Single Cell	1	VZA01803D_D10	435472	23398	34468	0.063149	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D11	VZA01803	D11	11	D	G1	Single Cell	1	VZA01803D_D11	126665	10409	14125	0.05271900000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D12	VZA01803	D12	12	D	G1	Single Cell	1	VZA01803D_D12	178715	13009	18349	0.048019000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D13	VZA01803	D13	13	D	G1	Single Cell	1	VZA01803D_D13	441932	24578	36022	0.051067	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D14	VZA01803	D14	14	D	G1	Single Cell	1	VZA01803D_D14	434997	20865	32103	0.05785100000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D15	VZA01803	D15	15	D	G1	Single Cell	1	VZA01803D_D15	372576	22834	32186	0.06470400000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D16	VZA01803	D16	16	D	G1	Single Cell	1	VZA01803D_D16	424519	16975	26353	0.053977000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D17	VZA01803	D17	17	D	G1	Single Cell	1	VZA01803D_D17	465609	23354	35622	0.06378500000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D18	VZA01803	D18	18	D	G1	Single Cell	1	VZA01803D_D18	530840	32146	46866	0.063103	NA	NA	NA	NA	X-ray 3Gy	96h
